Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,379.39,386.61,379.05,382.88,170775
2018-03-01 11:00:00,382.88,383.8,381.0,381.3,40435
2018-03-01 12:00:00,381.3,382.24,380.32,380.54,27095
2018-03-01 13:00:00,380.54,382.0,380.22,381.37,23510
2018-03-01 14:00:00,381.33,382.73,380.27,380.41,30520
2018-03-01 15:00:00,380.4,381.2,378.22,378.9,115210
2018-03-05 10:00:00,378.96,380.64,376.2,377.4,88550
2018-03-05 11:00:00,377.4,379.4,376.23,378.44,53270
2018-03-05 12:00:00,378.44,378.6,374.6,374.9,22400
2018-03-05 13:00:00,374.9,378.18,374.9,375.31,54005
2018-03-05 14:00:00,375.31,376.41,373.01,375.0,41340
2018-03-05 15:00:00,375.0,375.95,373.85,375.61,27740
2018-03-06 10:00:00,379.33,379.3,376.75,377.74,161380
2018-03-06 11:00:00,377.74,378.0,374.3,374.6,117785
2018-03-06 12:00:00,374.6,377.34,373.24,375.57,46210
2018-03-06 13:00:00,375.57,380.8,374.6,379.16,167510
2018-03-06 14:00:00,379.16,379.85,377.07,377.43,29070
2018-03-06 15:00:00,377.43,377.43,370.41,370.8,84385
2018-03-07 10:00:00,371.8,371.8,364.44,367.21,134680
2018-03-07 11:00:00,367.21,371.01,365.95,366.0,104435
2018-03-07 12:00:00,366.0,369.39,364.8,367.46,77115
2018-03-07 13:00:00,367.46,369.0,366.0,366.0,35345
2018-03-07 14:00:00,366.0,366.79,363.03,364.69,52345
2018-03-07 15:00:00,364.69,365.4,359.6,360.6,116580
2018-03-08 10:00:00,364.4,363.8,357.0,357.85,145700
2018-03-08 11:00:00,357.85,359.06,355.0,358.75,70560
2018-03-08 12:00:00,358.75,363.26,358.05,362.51,83995
2018-03-08 13:00:00,362.51,366.0,362.51,364.61,152890
2018-03-08 14:00:00,364.61,370.69,364.61,368.0,155615
2018-03-08 15:00:00,368.0,370.52,368.0,369.41,54545
2018-03-09 10:00:00,370.04,370.2,365.0,367.68,112110
2018-03-09 11:00:00,367.68,369.6,367.4,368.48,90190
2018-03-09 12:00:00,368.48,368.99,367.8,368.2,33640
2018-03-09 13:00:00,368.01,368.8,367.5,367.8,87935
2018-03-09 14:00:00,367.8,373.16,366.81,371.6,133395
2018-03-09 15:00:00,371.61,371.61,367.8,370.78,347080
2018-03-12 10:00:00,372.4,373.85,370.26,371.95,68020
2018-03-12 11:00:00,371.95,373.66,371.4,372.21,154340
2018-03-12 12:00:00,372.02,372.22,370.8,371.66,34375
2018-03-12 13:00:00,371.66,371.79,368.41,369.6,57780
2018-03-12 14:00:00,369.6,371.91,369.39,371.2,32320
2018-03-12 15:00:00,371.2,374.68,370.86,373.38,108845
2018-03-13 10:00:00,370.8,376.46,370.8,376.29,35575
2018-03-13 11:00:00,376.29,376.96,374.99,375.9,60260
2018-03-13 12:00:00,375.9,376.0,374.0,374.4,32490
2018-03-13 13:00:00,374.4,375.11,371.41,374.2,23435
2018-03-13 14:00:00,374.2,375.6,370.41,372.0,77515
2018-03-13 15:00:00,372.0,373.55,370.6,371.99,147500
2018-03-14 10:00:00,372.0,377.7,372.0,375.01,137375
2018-03-14 11:00:00,375.01,375.9,374.29,374.6,49410
2018-03-14 12:00:00,374.58,375.0,373.06,373.46,33980
2018-03-14 13:00:00,373.46,375.8,373.21,375.4,32785
2018-03-14 14:00:00,375.4,375.4,373.01,373.31,20505
2018-03-14 15:00:00,373.31,375.4,373.26,374.8,39105
2018-03-15 10:00:00,374.0,378.0,373.8,377.56,49845
2018-03-15 11:00:00,377.56,377.75,375.8,376.32,48355
2018-03-15 12:00:00,376.36,377.0,375.11,375.36,34465
2018-03-15 13:00:00,375.36,376.6,375.34,376.31,115710
2018-03-15 14:00:00,376.34,376.79,374.86,374.93,19815
2018-03-15 15:00:00,374.93,376.99,374.6,376.99,25345
2018-03-16 10:00:00,375.4,376.2,373.54,375.79,86385
2018-03-16 11:00:00,375.79,376.71,374.74,376.1,27580
2018-03-16 12:00:00,376.1,376.1,374.88,375.31,9915
2018-03-16 13:00:00,375.31,376.4,374.8,375.89,9345
2018-03-16 14:00:00,375.89,378.4,374.63,374.99,45795
2018-03-16 15:00:00,374.99,376.17,374.0,374.28,80970
2018-03-19 10:00:00,374.0,374.39,371.77,374.0,72125
2018-03-19 11:00:00,374.0,374.0,372.36,372.36,20225
2018-03-19 12:00:00,372.36,373.56,370.6,373.56,98485
2018-03-19 13:00:00,373.56,375.36,372.85,373.72,58220
2018-03-19 14:00:00,373.72,374.4,373.27,374.3,38525
2018-03-19 15:00:00,374.3,376.49,373.6,375.0,150735
2018-03-20 10:00:00,371.4,378.56,371.4,374.9,118925
2018-03-20 11:00:00,374.9,375.4,372.2,373.21,32340
2018-03-20 12:00:00,373.21,381.2,373.2,381.17,142025
2018-03-20 13:00:00,380.9,381.97,379.33,381.78,113310
2018-03-20 14:00:00,381.77,382.6,379.41,380.47,295880
2018-03-20 15:00:00,380.47,383.74,379.66,383.4,134065
2018-03-21 10:00:00,384.94,386.76,384.02,385.57,278425
2018-03-21 11:00:00,385.57,386.5,384.4,385.75,94655
2018-03-21 12:00:00,385.75,389.9,385.28,388.0,761725
2018-03-21 13:00:00,388.0,389.2,387.54,388.41,117610
2018-03-21 14:00:00,388.41,390.36,387.04,388.6,223705
2018-03-21 15:00:00,388.6,389.66,387.0,389.56,191840
2018-03-22 10:00:00,391.8,392.0,386.4,387.0,325115
2018-03-22 11:00:00,387.0,388.65,385.02,387.22,143655
2018-03-22 12:00:00,387.2,387.77,385.9,386.15,80195
2018-03-22 13:00:00,386.2,388.68,386.2,387.24,80300
2018-03-22 14:00:00,387.16,389.0,387.02,388.79,133730
2018-03-22 15:00:00,388.79,389.0,387.22,388.2,116750
2018-03-23 10:00:00,384.4,384.4,377.53,383.1,125640
2018-03-23 11:00:00,383.1,383.4,381.84,382.5,47145
2018-03-23 12:00:00,382.5,382.77,380.0,380.0,81085
2018-03-23 13:00:00,380.0,381.6,379.71,380.41,59570
2018-03-23 14:00:00,380.41,382.73,380.41,382.48,45240
2018-03-23 15:00:00,382.48,383.8,382.04,382.42,38880
2018-03-26 10:00:00,383.42,386.79,382.47,385.62,113795
2018-03-26 11:00:00,385.62,385.97,384.21,384.95,37575
2018-03-26 12:00:00,384.95,385.7,384.6,384.6,16325
2018-03-26 13:00:00,384.6,384.87,382.6,382.61,34380
2018-03-26 14:00:00,382.6,385.4,382.6,384.9,54110
