Date,Open,High,Low,Close,Volume
2018-03-01 10:00:00,2731.14,2765.0,2729.39,2762.51,90710
2018-03-01 11:00:00,2762.51,2785.0,2760.03,2764.23,162000
2018-03-01 12:00:00,2764.54,2768.61,2761.8,2764.56,58430
2018-03-01 13:00:00,2764.56,2769.5,2762.54,2767.5,46240
2018-03-01 14:00:00,2767.5,2782.5,2766.0,2779.39,101040
2018-03-01 15:00:00,2779.39,2797.2,2771.0,2778.49,309100
2018-03-05 10:00:00,2772.5,2779.69,2748.78,2759.76,131240
2018-03-05 11:00:00,2759.76,2760.76,2755.5,2756.5,64210
2018-03-05 12:00:00,2756.5,2760.96,2755.01,2760.0,49160
2018-03-05 13:00:00,2760.0,2763.5,2752.01,2758.44,77230
2018-03-05 14:00:00,2758.44,2761.0,2755.13,2757.88,52310
2018-03-05 15:00:00,2757.88,2760.42,2747.92,2754.63,107880
2018-03-06 10:00:00,2771.0,2777.17,2725.12,2740.5,85590
2018-03-06 11:00:00,2740.5,2749.9,2740.5,2748.81,35940
2018-03-06 12:00:00,2748.01,2757.0,2748.0,2750.5,33830
2018-03-06 13:00:00,2750.5,2754.8,2750.01,2754.0,21660
2018-03-06 14:00:00,2754.0,2756.89,2750.37,2752.0,32920
2018-03-06 15:00:00,2751.99,2759.9,2743.86,2748.79,170280
2018-03-07 10:00:00,2747.0,2748.79,2732.9,2743.52,37460
2018-03-07 11:00:00,2743.52,2748.65,2738.01,2740.5,26170
2018-03-07 12:00:00,2740.5,2765.5,2730.67,2757.0,78480
2018-03-07 13:00:00,2756.7,2757.0,2743.5,2755.98,25040
2018-03-07 14:00:00,2755.98,2760.0,2746.5,2753.63,25030
2018-03-07 15:00:00,2753.66,2759.89,2749.0,2753.52,52590
2018-03-08 10:00:00,2758.0,2760.4,2742.56,2749.91,39550
2018-03-08 11:00:00,2749.91,2759.48,2748.5,2757.0,32690
2018-03-08 12:00:00,2757.0,2784.0,2756.28,2780.99,71970
2018-03-08 13:00:00,2780.99,2784.57,2768.08,2776.0,32440
2018-03-08 14:00:00,2776.0,2783.3,2770.66,2777.0,32270
2018-03-08 15:00:00,2777.0,2779.9,2765.29,2767.51,67070
2018-03-09 10:00:00,2775.0,2793.5,2766.84,2793.5,51520
2018-03-09 11:00:00,2793.5,2806.5,2793.02,2799.0,68530
2018-03-09 12:00:00,2799.0,2799.89,2795.0,2798.99,28280
