DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.65
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.4
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.1
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.3
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.55
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.0
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.45
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.65
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 267.2
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 266.9
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 267.2
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 268.45
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 269.6
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 270.6
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 270.6
DEBUG:root:2020-12-18-2020-12-18, Sell EXECUTED 271.5
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 268.45
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.5
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 267.25
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 267.8
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 267.45
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 267.4
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 267.05
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.65
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.15
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.65
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.6
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.9
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.8
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.7
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 266.0
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 264.6
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 263.85
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 263.6
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 261.15
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 259.25
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 259.2
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 255.6
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 255.55
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 252.0
DEBUG:root:2020-12-21-2020-12-21, Sell EXECUTED 255.35
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 254.8
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 253.75
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 250.6
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 249.8
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 251.7
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 254.0
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 252.5
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 252.45
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 253.3
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 252.9
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 252.05
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 253.2
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 253.1
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 252.35
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 253.35
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 252.85
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 253.3
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 254.8
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 256.75
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 256.7
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 257.3
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 257.75
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 258.0
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 257.0
DEBUG:root:2020-12-22-2020-12-22, Sell EXECUTED 257.6
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 256.95
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 257.15
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 257.4
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 259.75
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 259.2
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 260.8
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 261.6
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 261.75
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 261.65
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 260.7
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 260.95
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.0
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 261.95
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.3
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 263.35
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 263.0
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.45
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.45
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 263.25
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 263.0
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.95
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.55
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.55
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 262.35
DEBUG:root:2020-12-23-2020-12-23, Sell EXECUTED 263.0
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 265.0
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.3
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.3
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.1
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.3
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.8
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.65
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.2
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 265.6
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.95
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 268.15
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.75
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 268.0
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.55
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.95
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.65
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.7
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 268.0
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.75
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 268.05
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.95
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.65
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 268.2
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 267.35
DEBUG:root:2020-12-24-2020-12-24, Sell EXECUTED 266.85
DEBUG:root:2020-12-28-2020-12-28, Sell EXECUTED 268.75
DEBUG:root:2020-12-28-2020-12-28, Sell EXECUTED 271.0
DEBUG:root:2020-12-28-2020-12-28, Sell EXECUTED 271.1
DEBUG:root:2020-12-28-2020-12-28, Sell EXECUTED 271.35
DEBUG:root:2020-12-28-2020-12-28, Sell EXECUTED 270.5
DEBUG:matplotlib:CACHEDIR=/Users/raghavaggarwal/.matplotlib
DEBUG:matplotlib.font_manager:Using fontManager instance from /Users/raghavaggarwal/.matplotlib/fontlist-v310.json
DEBUG:matplotlib.pyplot:Loaded backend MacOSX version unknown.
DEBUG:matplotlib.pyplot:Loaded backend MacOSX version unknown.
DEBUG:matplotlib.pyplot:Loaded backend nbAgg version unknown.
DEBUG:matplotlib.font_manager:findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal 700 normal>) = 1.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal 700 normal>) = 0.33499999999999996
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmb10' (cmb10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 1.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUniIta.ttf) italic normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-BoldOblique.ttf) oblique normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 0.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneralBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Al Bayan' (AlBayan.ttc) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Waseem' (Waseem.ttc) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Verdana' (Verdana Bold.ttf) normal normal 700 normal>) = 3.9713636363636367
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W8.ttc) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Baghdad' (Baghdad.ttc) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font '.SF Arabic' (SFArabic.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Verdana' (Verdana Italic.ttf) italic normal 400 normal>) = 4.6863636363636365
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXIntegralsD' (STIXIntDReg.otf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Noto Sans Hatran' (NotoSansHatran-Regular.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Apple Symbols' (Apple Symbols.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Apple Braille' (Apple Braille Pinpoint 6 Dot.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Noto Sans Cuneiform' (NotoSansCuneiform-Regular.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Noto Sans Mandaic' (NotoSansMandaic-Regular.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Zapf Dingbats' (ZapfDingbats.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Noto Sans NKo' (NotoSansNKo-Regular.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Heiti TC' (STHeiti Light.ttc) normal normal light normal>) = 10.24
DEBUG:matplotlib.font_manager:findfont: score(<Font '.SF NS Mono' (SFNSMonoItalic.ttf) italic normal light normal>) = 11.24
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Wingdings 2' (Wingdings 2.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.otf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Farah' (Farah.ttc) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font '.Keyboard' (Keyboard.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Times New Roman' (Times New Roman Bold Italic.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Verdana' (Verdana.ttf) normal normal 400 normal>) = 3.6863636363636365
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Noto Nastaliq Urdu' (NotoNastaliq.ttc) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Superclarendon' (SuperClarendon.ttc) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'ITF Devanagari' (ITFDevanagari.ttc) normal normal book normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'AppleGothic' (AppleGothic.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Noto Sans Palmyrene' (NotoSansPalmyrene-Regular.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Noto Sans Tai Tham' (NotoSansTaiTham-Regular.ttf) normal normal 400 normal>) = 10.05
