,Tickers,M_dma
1218,AKZOINDIA,18
1219,KSK,17
1220,PGHH,17
1221,ARIHANTCAP,17
1222,IRFC,17
1223,CAMS,17
1224,ITC,17
1225,GEPIL,17
1226,ROSSARI,17
1227,DEEPINDS,17
1228,MARUTI,17
1229,SANDHAR,17
1230,INFY,17
1231,TVTODAY,17
1232,SBILIFE,17
1233,SUNPHARMA,17
1234,TECHNOE,17
1235,STARCEMENT,17
1236,REPRO,17
1237,BHARTIARTL,17
1238,UPL,17
1239,PODDARMENT,17
1240,TORNTPHARM,17
1241,ZFCVINDIA,17
1242,FSC,16
1243,NATHBIOGEN,16
1244,INDUSTOWER,16
1245,JYOTHYLAB,16
1246,HINDUNILVR,16
1247,WHIRLPOOL,16
1248,MAXIND,16
1249,UNIDT,16
1250,GLENMARK,16
1251,RAMCOCEM,16
1252,ICICIGI,16
1253,HEIDELBERG,15
1254,MFL,15
1255,GVKPIL,15
1256,ICICIBANK,15
1257,SPANDANA,15
1258,BCLIND,15
1259,HMVL,15
1260,IONEXCHANG,15
1261,CROMPTON,15
1262,ICICIPRULI,15
1263,ALKEM,15
1264,NAZARA,15
1265,EASEMYTRIP,15
1266,CONFIPET,15
1267,AMARAJABAT,15
1268,PPAP,15
1269,COLPAL,14
1270,AXISBANK,14
1271,BAJAJCON,14
1272,TALWGYM,14
1273,UNIPLY,14
1274,HDFCBANK,14
1275,FLFL,14
1276,CHEMBOND,14
1277,EQUITASBNK,14
1278,MUNJALAU,14
1279,ITI,14
1280,ACC,14
1281,ASIANHOTNR,14
1282,TAKE,14
1283,KALYANKJIL,14
1284,SPENCERS,14
1285,CRAFTSMAN,14
1286,BALAJITELE,14
1287,EXIDEIND,14
1288,SUMICHEM,13
1289,AUTOLITIND,13
1290,AIAENG,13
1291,HEROMOTOCO,13
1292,MOIL,13
1293,CASTROLIND,13
1294,APLLTD,13
1295,GULFOILLUB,13
1296,ENIL,13
1297,AWHCL,13
1298,ERIS,13
1299,BIRLATYRE,12
1300,KCP,12
1301,IMPAL,12
1302,MTARTECH,12
1303,LUPIN,12
1304,CMSINFO,12
1305,SBCL,12
1306,SANOFI,12
1307,SANSERA,12
1308,BARBEQUE,12
1309,STOVEKRAFT,12
1310,PHOENIXLTD,12
1311,DICIND,12
1312,BECTORFOOD,11
1313,VALIANTORG,11
1314,SMCGLOBAL,11
1315,SHARONBIO,11
1316,CKFSL,11
1317,HOMEFIRST,11
1318,GUJAPOLLO,11
1319,PLASTIBLEN,10
1320,LXCHEM,10
1321,ROUTE,10
1322,ANURAS,10
1323,GOCOLORS,10
1324,HARIOMPIPE,10
1325,RBA,10
1326,KANSAINER,10
1327,CHOICEIN,10
1328,MEDICAMEQ,9
1329,MANPASAND,9
1330,STYLAMIND,9
1331,RAILTEL,9
1332,DABUR,9
1333,MARICO,9
1334,BAJAJHCARE,9
1335,ROLEXRINGS,9
1336,VENUSPIPES,9
1337,CHEMCON,9
1338,BIOCON,8
1339,MAHEPC,8
1340,SHK,8
1341,GLAND,8
1342,HEMIPROP,8
1343,PETRONET,8
1344,CARYSIL,8
1345,SURYODAY,8
1346,INDIGOPNTS,8
1347,SUNTV,8
1348,EXXARO,8
1349,ANANDRATHI,8
1350,PRUDENT,8
1351,TARSONS,7
1352,MANYAVAR,7
1353,MOL,7
1354,AWL,7
1355,DATAPATTNS,7
1356,JUBLINGREA,7
1357,BLUEBLENDS,7
1358,CLSEL,6
1359,CAMPUS,6
1360,VERANDA,6
1361,SAPPHIRE,6
1362,HPAL,6
1363,UGROCAP,6
1364,MONARCH,6
1365,AIFL,6
1366,SHRIRAMPPS,6
1367,ROTO,6
1368,NURECA,6
1369,LODHA,6
1370,SJS,5
1371,GRWRHITECH,5
1372,VIJAYA,5
1373,TEGA,5
1374,METROBRAND,5
1375,GANESHBE,5
1376,SIGACHI,5
1377,BINANIIND,5
1378,KIMS,5
1379,LICI,5
1380,IPL,5
1381,NUVOCO,5
1382,PARAS,5
1383,AXITA,4
1384,WINDLAS,4
1385,DODLA,4
1386,DEVYANI,4
1387,RATEGAIN,3
1388,FINOPB,3
1389,AMIORG,3
1390,ISGEC,3
1391,NYKAA,3
1392,RAINBOW,3
1393,DCMSRIND,3
1394,DOLPHINOFF,3
1395,CHEMPLASTS,3
1396,SVPGLOB,3
1397,INTLCONV,3
1398,CLEAN,3
1399,ABSLAMC,3
1400,CARTRADE,2
1401,MSUMI,2
1402,HERANBA,2
1403,LEEL,2
1404,KRSNAA,2
1405,STARHEALTH,1
1406,SONACOMS,1
1407,APTUS,1
1408,TATVA,1
1409,INDOAMIN,1
1410,SHYAMMETL,1
1411,LATENTVIEW,1
1412,PAYTM,1
1413,MEDPLUS,1
1414,GLS,1
1415,GRINFRA,1
1416,GITANJALI,0
1417,LAKSHMIEFL,0
1418,GAMMONIND,0
1419,FEDDERELEC,0
1420,PINCON,0
1421,PRATIBHA,0
1422,MEDANTA,0
1423,VCL,0
1424,FUSION,0
1425,MAPMYINDIA,0
1426,INOXGREEN,0
1427,SYRMA,0
1428,PARADEEP,0
1429,KAYNES,0
1430,SUPRIYA,0
1431,DREAMFOLKS,0
1432,HARSHA,0
1433,RUSTOMJEE,0
1434,DCXINDIA,0
1435,GATEWAY,0
1436,EMIL,0
1437,ETHOSLTD,0
1438,EMUDHRA,0
1439,GRMOVER,0
1440,UNIPARTS,0
1441,DBOL,0
1442,ACI,0
1443,ZOMATO,0
1444,DHARMAJ,0
1445,UMAEXPORTS,0
1446,COASTCORP,0
1447,DELHIVERY,0
1448,POLICYBZR,0
1449,MANORG,0
1450,FIVESTAR,0
1451,PPLPHARMA,0
1452,RAMRAT,0
1453,TMB,0
1454,BIKAJI,0
1455,AETHER,0
1456,AGSTRA,0
1457,TRACXN,0
1458,SYNCOMF,0
1459,EMAMIPAP,0
1460,SPORTKING,0
1461,ZICO,0
