,Tickers,M_dma
216,BURNPUR,47
217,GENUSPOWER,47
218,BEML,47
219,UGARSUGAR,47
220,TRENT,47
221,NILAINFRA,47
222,CENTRALBK,47
223,IRCTC,47
224,AGI,46
225,MAITHANALL,46
226,ARIHANTSUP,46
227,HGINFRA,46
228,MAHSCOOTER,46
229,AARTIDRUGS,46
230,HFCL,46
231,MTNL,46
232,AVTNPL,46
233,PUNJLLOYD,46
234,ONWARDTEC,46
235,DCM,46
236,WEBELSOLAR,46
237,ESTER,46
238,NAVINFLUOR,46
239,UNITECH,45
240,BORORENEW,45
241,REDINGTON,45
242,SPECIALITY,45
243,TRF,45
244,ISFT,45
245,GREENPANEL,45
246,MOLDTKPAC,45
247,ADFFOODS,45
248,JBMA,45
249,INOXLEISUR,45
250,JAGSNPHARM,45
251,JASH,45
252,IVC,45
253,ISEC,45
254,ICIL,44
255,TWL,44
256,KMSUGAR,44
257,BAJAJFINSV,44
258,SEQUENT,44
259,TATACOMM,44
260,GTLINFRA,44
261,SANGAMIND,44
262,INDBANK,44
263,BROOKS,44
264,MAHASTEEL,44
265,VISAKAIND,44
266,RNAVAL,44
267,HIRECT,44
268,SRHHYPOLTD,44
269,63MOONS,44
270,DUCON,44
271,SITINET,44
272,PRINCEPIPE,44
273,SATIN,44
274,RAMKY,44
275,MUKANDLTD,44
276,TRIDENT,44
277,POONAWALLA,44
278,RSYSTEMS,44
279,SHYAMCENT,44
280,VIMTALABS,43
281,ACE,43
282,JISLJALEQS,43
283,EIHOTEL,43
284,SOTL,43
285,DAAWAT,43
286,SEPC,43
287,SWANENERGY,43
288,SIYSIL,43
289,ORISSAMINE,43
290,TRIVENI,43
291,PNBGILTS,43
292,GSFC,43
293,RUSHIL,43
294,JINDRILL,43
295,CHENNPETRO,43
296,TATASTLLP,43
297,SURYAROSNI,43
298,PRIMESECU,43
299,UCOBANK,43
300,RHIM,43
301,CINELINE,43
302,LYPSAGEMS,43
303,IOB,43
304,BEL,43
305,JSWENERGY,43
306,GMRINFRA,43
307,MSPL,43
308,OILCOUNTUB,43
309,CENTURYPLY,42
310,JUBLINDS,42
311,AUTOIND,42
312,SOLARINDS,42
313,KEI,42
314,SCI,42
315,TEMBO,42
316,TI,42
317,AKSHOPTFBR,42
318,MADHUCON,42
319,KRIDHANINF,42
320,ANUP,42
321,PRECAM,42
322,SKMEGGPROD,42
323,NAHARCAP,42
324,BHARATWIRE,42
325,STEL,42
326,HINDCOPPER,42
327,TASTYBITE,42
328,IZMO,42
329,GSS,42
330,EMCO,42
331,BINDALAGRO,42
332,SPMLINFRA,42
333,IFCI,42
334,ESABINDIA,42
335,UNIVCABLES,42
336,TATAMOTORS,41
337,DHANBANK,41
338,RVNL,41
339,NFL,41
340,CYIENT,41
341,CARBORUNIV,41
342,WELCORP,41
343,DCMSHRIRAM,41
344,SHAREINDIA,41
345,SHARDAMOTR,41
346,SHOPERSTOP,41
347,RIIL,41
348,OPTIEMUS,41
349,RUBYMILLS,41
350,DONEAR,41
351,KPRMILL,41
352,JKTYRE,41
353,KAMATHOTEL,41
354,MAXVIL,41
355,MBLINFRA,41
356,ASIANTILES,41
357,SHAKTIPUMP,41
358,VETO,41
359,ASTRAL,41
360,ELGIEQUIP,41
361,RAIN,41
362,VAISHALI,41
363,BAJAJHLDNG,40
364,INDSWFTLAB,40
365,JKPAPER,40
366,NACLIND,40
367,GAL,40
368,AARTIIND,40
369,TIRUMALCHM,40
370,INDIACEM,40
371,ALANKIT,40
372,KABRAEXTRU,40
373,DYNAMATECH,40
374,ABCAPITAL,40
375,SUVEN,40
376,PRIVISCL,40
377,MAANALU,40
378,ARIES,40
379,ABAN,40
380,RPGLIFE,40
381,WINDMACHIN,40
382,TDPOWERSYS,40
383,VSSL,40
384,SOUTHBANK,40
385,PENINLAND,40
386,RELAXO,40
387,VINDHYATEL,40
388,NECCLTD,40
389,GMDCLTD,40
390,VASCONEQ,40
391,BAJAJELEC,40
392,DHARSUGAR,40
393,BALRAMCHIN,40
394,SPAL,40
395,CGCL,40
396,DHANI,40
397,LAXMIMACH,40
398,ASHOKA,40
399,SAREGAMA,40
400,VIDEOIND,40
401,KANORICHEM,40
402,KOPRAN,40
403,CIGNITITEC,39
404,TVSELECT,39
405,CREDITACC,39
406,KARURVYSYA,39
407,GTPL,39
408,TATACHEM,39
409,GESHIP,39
410,SHIVAMAUTO,39
411,TALBROAUTO,39
412,GOKEX,39
413,SHREYAS,39
414,SUNCLAYLTD,39
415,HBLPOWER,39
416,ARVSMART,39
417,DOLLAR,39
418,GINNIFILA,39
419,TATAINVEST,39
420,NAGAFERT,39
421,POKARNA,39
422,DENORA,39
423,KNRCON,39
424,HITECHGEAR,39
425,FINEORG,39
426,PDMJEPAPER,39
427,GRANULES,39
428,KALPATPOWR,39
429,WSTCSTPAPR,39
430,BIRLACORPN,39
431,ZUARIIND,39
432,SRF,39
433,BDL,39
434,APOLLOPIPE,39
435,IDBI,39
436,COCHINSHIP,39
437,INDRAMEDCO,38
438,EROSMEDIA,38
439,NXTDIGITAL,38
440,NCC,38
441,BRFL,38
442,NITINFIRE,38
443,SHREYANIND,38
444,GENESYS,38
445,ORIENTBELL,38
446,GRINDWELL,38
447,BANKBARODA,38
448,VAIBHAVGBL,38
449,KEC,38
450,YAARI,38
451,IDFCFIRSTB,38
452,BFUTILITIE,38
453,FLUOROCHEM,38
454,NELCO,38
455,DCW,38
456,INDIANB,38
457,JSWHL,38
458,HDIL,38
459,SMSPHARMA,38
460,INDORAMA,38
461,KINGFA,38
462,SUNDARAM,38
463,EMAMIREAL,38
464,TIDEWATER,38
465,ABB,38
466,GOACARBON,38
467,GIPCL,38
468,BSOFT,38
469,NECLIFE,38
470,PILITA,38
471,KSHITIJPOL,38
472,XELPMOC,38
473,JBFIND,38
474,NETWORK18,38
475,LTIM,38
476,SWELECTES,38
477,HCC,38
478,KDDL,38
479,RHFL,37
480,RUPA,37
481,WABAG,37
482,PDSL,37
483,JAICORPLTD,37
484,ADANIPORTS,37
485,A2ZINFRA,37
486,ARSSINFRA,37
487,SCHNEIDER,37
488,TATACOFFEE,37
489,MSTCLTD,37
490,FIEMIND,37
491,NEWGEN,37
492,JPASSOCIAT,37
493,ARCHIES,37
494,DATAMATICS,37
495,KIRLOSENG,37
496,MIRZAINT,37
497,ESSARSHPNG,37
498,HINDOILEXP,37
499,ANDHRSUGAR,37
500,KOHINOOR,37
501,SPIC,37
502,DMART,37
503,PIONEEREMB,37
504,HERCULES,37
505,FACT,37
506,MEGASOFT,37
507,MMTC,37
508,KIOCL,37
509,RAYMOND,37
510,POLYMED,37
511,JETAIRWAYS,37
512,EDELWEISS,37
513,IIFL,37
514,RAMCOSYS,37
515,MPSLTD,37
516,BANCOINDIA,37
517,CENTENKA,37
518,PENIND,37
519,ROHLTD,37
520,NMDC,37
521,KAJARIACER,37
522,3IINFOLTD,37
523,BLUEDART,37
524,AJMERA,37
525,SKFINDIA,37
526,AMBER,37
527,HPL,37
528,SELAN,36
529,CEREBRAINT,36
530,INTENTECH,36
531,CYBERTECH,36
532,ARMANFIN,36
533,PROZONINTU,36
534,DFMFOODS,36
535,RUCHIRA,36
536,PATELENG,36
537,LEMONTREE,36
538,JMCPROJECT,36
539,NAVKARCORP,36
540,DBL,36
541,SHEMAROO,36
542,DYNPRO,36
543,NAVA,36
544,KTKBANK,36
545,CAPTRUST,36
546,TINPLATE,36
547,HATSUN,36
548,SURYALAXMI,36
549,FSL,36
550,HIL,36
551,PFS,36
552,RPSGVENT,36
553,ALBERTDAVD,36
554,APOLLO,36
555,CLNINDIA,36
556,COFORGE,36
557,VIDHIING,36
558,MAHINDCIE,36
559,GPTINFRA,36
560,GNFC,36
561,OMAXE,36
562,WENDT,36
563,KIRLOSIND,36
564,QUESS,36
565,IGPL,36
566,NAHARPOLY,35
567,WIPRO,35
568,LINC,35
569,ANGELONE,35
570,AURIONPRO,35
571,RCF,35
572,IEX,35
573,DIAPOWER,35
574,JBCHEPHARM,35
575,WELSPUNIND,35
576,HINDWAREAP,35
577,ROLLT,35
578,RADICO,35
579,VTL,35
580,PANACEABIO,35
581,SAGCEM,35
582,RGL,35
583,ARVIND,35
584,PREMEXPLN,35
585,TERASOFT,35
586,MTEDUCARE,35
587,INDIAGLYCO,35
588,RALLIS,35
589,NBCC,35
590,CAPACITE,35
591,BPL,35
592,BHARATGEAR,35
593,MANGCHEFER,35
594,GATI,35
595,ORIENTHOT,35
596,MAHESHWARI,35
597,SATIA,35
598,NIITLTD,35
599,SECURKLOUD,35
600,AIRAN,35
601,ORIENTELEC,35
602,TEXMOPIPES,35
603,UNOMINDA,35
604,CUMMINSIND,35
605,TPLPLASTEH,35
606,MONTECARLO,35
607,HONAUT,35
608,SAIL,35
609,DALBHARAT,35
610,TNPL,35
611,JSWISPL,35
612,COMPINFO,35
613,TAJGVK,35
614,APARINDS,35
615,METROPOLIS,35
616,APOLLOHOSP,35
617,ASTEC,35
618,PNB,35
619,LASA,35
620,EXPLEOSOL,35
621,JHS,35
622,BIRLACABLE,35
623,PRSMJOHNSN,35
624,NSIL,35
625,SUNFLAG,35
626,AYMSYNTEX,34
627,BGRENERGY,34
628,INDOTECH,34
629,VARDHACRLC,34
630,BLKASHYAP,34
631,THANGAMAYL,34
632,ORIENTCEM,34
633,PFOCUS,34
634,NRAIL,34
635,GNA,34
636,GTL,34
637,PONNIERODE,34
638,ADORWELD,34
639,TRIGYN,34
640,METALFORGE,34
641,APTECHT,34
642,PRICOLLTD,34
643,MOHITIND,34
644,HONDAPOWER,34
645,BEPL,34
646,URJA,34
647,LIBERTSHOE,34
648,EVERESTIND,34
649,RELIANCE,34
650,SPLPETRO,34
651,CENTURYTEX,34
652,SUNDRMFAST,34
653,VINATIORGA,34
654,GODREJPROP,34
655,MRPL,34
656,DELTACORP,34
657,DHANUKA,34
658,BALKRISIND,34
659,TATASTEEL,34
660,HINDALCO,34
661,BHEL,34
662,LUXIND,34
663,BRIGADE,34
664,BAJFINANCE,34
665,BANARISUG,34
666,MIDHANI,34
667,ATUL,34
668,ELECTCAST,33
669,KKCL,33
670,FINPIPE,33
671,MAZDOCK,33
672,INDTERRAIN,33
673,TCPLPACK,33
674,SDBL,33
675,NESCO,33
676,SANGHIIND,33
677,CREST,33
678,MERCATOR,33
679,DEN,33
680,HSCL,33
681,CANBK,33
682,HEG,33
683,ECLERX,33
684,OMAXAUTO,33
685,AMBIKCO,33
686,INGERRAND,33
687,TRITURBINE,33
688,SINTEX,33
689,NHPC,33
690,PSB,33
691,TIMKEN,33
692,SONATSOFTW,33
693,LTTS,33
694,KIRLOSBROS,33
695,AVANTIFEED,33
696,PNBHOUSING,33
697,CAPLIPOINT,33
698,GSCLCEMENT,33
699,ORIENTPPR,33
700,SETCO,33
701,ORICONENT,33
702,CHALET,33
703,MARKSANS,33
704,BYKE,33
705,DEEPENR,33
706,RITES,33
707,SHALPAINTS,32
708,JPINFRATEC,32
709,RBLBANK,32
710,GARFIBRES,32
711,BIL,32
712,BHARATRAS,32
713,GHCL,32
714,TITAN,32
715,CERA,32
716,FINCABLES,32
717,SBIN,32
718,TEXRAIL,32
719,INDHOTEL,32
720,PFC,32
721,HEADSUP,32
722,MURUDCERA,32
723,SRPL,32
724,STERTOOLS,32
725,HOVS,32
726,JCHAC,32
727,ALICON,32
728,REPCOHOME,32
729,ASHIANA,32
730,SOBHA,32
731,PFIZER,32
732,VARROC,32
733,ADVENZYMES,32
734,NH,32
735,ZUARI,32
736,AAVAS,32
737,OMINFRAL,32
738,PPL,32
739,CUB,32
740,KOTARISUG,32
741,JAYSREETEA,32
742,AGRITECH,32
743,SCHAEFFLER,32
744,THOMASCOOK,32
745,VBL,32
746,SCHAND,32
747,PURVA,32
748,ZENSARTECH,32
749,ACCELYA,32
750,CHOLAFIN,32
751,MADRASFERT,32
752,JINDALPOLY,32
753,KIRIINDUS,32
754,RCOM,31
755,PATINTLOG,31
756,UJAAS,31
757,TV18BRDCST,31
758,KSL,31
759,ARSHIYA,31
760,SANGHVIMOV,31
761,IRCON,31
762,VMART,31
763,TCIEXP,31
764,GREENPLY,31
765,KITEX,31
766,KUANTUM,31
767,CENTRUM,31
768,FILATEX,31
769,PRAKASH,31
770,MGEL,31
771,INDIAMART,31
772,SMSLIFE,31
773,CORALFINAC,31
774,BHAGYANGR,31
775,NOIDATOLL,31
776,RMCL,31
777,ITDC,31
778,KOTHARIPET,31
779,GANDHITUBE,31
780,RAJESHEXPO,31
781,LOKESHMACH,31
782,CLEDUCATE,31
783,AUTOAXLES,31
784,SALZERELEC,31
785,SSWL,31
786,SARLAPOLY,31
787,DISHTV,31
788,SHREEPUSHK,31
789,EIDPARRY,31
790,APCL,31
791,SHRENIK,31
792,PRESSMN,31
793,LOVABLE,31
794,TIMETECHNO,31
795,TNPETRO,31
796,PCBL,31
797,MRF,30
798,SKIPPER,30
799,ASTRON,30
800,BALLARPUR,30
801,IFGLEXPOR,30
802,HITECHCORP,30
803,VHL,30
804,HDFCAMC,30
805,MARINE,30
806,ALLSEC,30
807,PRAXIS,30
808,GRAPHITE,30
809,GLOBALVECT,30
810,VIPIND,30
811,ATULAUTO,30
812,HLVLTD,30
813,ABFRL,30
814,ASTERDM,30
815,NATCOPHARM,30
816,MANAKSIA,30
817,ALOKINDS,30
818,SASKEN,30
819,BANG,30
820,DLINKINDIA,30
821,JAYAGROGN,30
822,LINCOLN,30
823,MEP,30
824,MASFIN,30
825,VENKEYS,30
826,VRLLOG,30
827,SPTL,30
828,PSPPROJECT,30
829,JAGRAN,30
830,RELCAPITAL,30
831,FDC,30
832,GOCLCORP,30
833,THYROCARE,30
834,AUBANK,30
835,SUTLEJTEX,29
836,ITDCEM,29
837,MANAPPURAM,29
838,QUICKHEAL,29
839,SHREECEM,29
840,JAMNAAUTO,29
841,PVR,29
842,CEATLTD,29
843,PGHL,29
844,TEAMLEASE,29
845,MAHSEAMLES,29
846,SABTN,29
847,ANDHRAPAP,29
848,APEX,29
849,NITCO,29
850,XCHANGING,29
851,RAJTV,29
852,APOLSINHOT,29
853,WALCHANNAG,29
854,TVSSRICHAK,29
855,NEOGEN,29
856,KAKATCEM,29
857,HINDCOMPOS,29
858,WOCKPHARMA,29
859,JMTAUTOLTD,29
860,UNICHEMLAB,29
861,GUFICBIO,29
862,HAPPSTMNDS,29
863,SFL,29
864,BASF,29
865,SIEMENS,29
866,BLUESTARCO,29
867,SHANTIGEAR,29
868,SHARDACROP,29
869,SUNTECK,29
870,DCAL,29
871,WELENT,28
872,FORTIS,28
873,SHILPAMED,28
874,KSCL,28
875,KAYA,28
876,SEYAIND,28
877,GEOJITFSL,28
878,BHAGERIA,28
879,HARRMALAYA,28
880,MUTHOOTCAP,28
881,DLF,28
882,ACCURACY,28
883,GABRIEL,28
884,CAREERP,28
885,VEDL,28
886,ESCORTS,28
887,SHREDIGCEM,28
888,SUPREMEIND,28
889,GALAXYSURF,28
890,INDIGO,28
891,SUVENPHAR,28
892,SICAL,28
893,GULFPETRO,28
894,SMLISUZU,28
895,NTPC,28
896,YESBANK,28
897,OBEROIRLTY,28
898,JINDALSAW,28
899,ARCOTECH,28
900,LT,28
901,AMBUJACEM,28
902,IGARASHI,28
903,VIPULLTD,28
904,JSWSTEEL,28
905,GAEL,28
906,GEECEE,28
907,NAUKRI,28
908,JUBLPHARMA,28
909,TEXINFRA,28
910,TFCILTD,28
911,TECHM,28
912,MUKTAARTS,28
913,KILITCH,28
914,VSTIND,28
915,ONGC,28
916,RANEENGINE,28
917,SAFARI,28
918,UCALFUEL,27
919,TTKHLTCARE,27
920,SIMPLEXINF,27
921,VIKASECO,27
922,TBZ,27
923,ELECTHERM,27
924,ASAHIINDIA,27
925,IFBIND,27
926,BOMDYEING,27
927,PAGEIND,27
928,DBCORP,27
929,MOHOTAIND,27
930,LUMAXTECH,27
931,RML,27
932,CRISIL,27
933,GAYAPROJ,27
934,NRBBEARING,27
935,SESHAPAPER,27
936,TALWALKARS,27
937,GICHSGFIN,27
938,SUNDARMHLD,27
939,KRBL,27
940,MUTHOOTFIN,27
941,MANINDS,27
942,DANGEE,27
943,MOREPENLAB,27
944,MAXHEALTH,27
945,STAR,27
946,ARCHIDPLY,27
947,SADBHAV,26
948,ASALCBR,26
949,BLISSGVS,26
950,MOTILALOFS,26
951,LUMAXIND,26
952,MANGLMCEM,26
953,SUNDRMBRAK,26
954,ZYDUSWELL,26
955,HUDCO,26
956,GICRE,26
957,PTL,26
958,ASHOKLEY,26
959,CCL,26
960,KHADIM,26
961,RICOAUTO,26
962,TIL,26
963,HATHWAY,26
964,CUPID,26
965,SYNGENE,26
966,WHEELS,26
967,V2RETAIL,26
968,TATAMETALI,26
969,UFO,26
970,SHALBY,26
971,BIRLAMONEY,26
972,ASHIMASYN,26
973,20MICRONS,26
974,PEL,26
975,NCLIND,26
976,HTMEDIA,26
977,NATIONALUM,26
978,DIVISLAB,26
979,SHRIRAMFIN,26
980,SHANKARA,26
981,GREENLAM,26
982,POWERINDIA,26
983,PNCINFRA,26
984,ZENTEC,26
985,IOC,26
986,INSECTICID,25
987,LIBAS,25
988,KHAICHEM,25
989,RBL,25
990,SUNDARMFIN,25
991,ORIENTABRA,25
992,FMNL,25
993,RATNAMANI,25
994,VISHWARAJ,25
995,HESTERBIO,25
996,STARPAPER,25
997,IDFC,25
998,SMARTLINK,25
999,TORNTPOWER,25
1000,NILKAMAL,25
1001,KCPSUGIND,25
1002,OIL,25
1003,TTKPRESTIG,25
1004,GFLLIMITED,25
1005,AHLUCONT,25
1006,CMICABLES,25
1007,STAMPEDE,25
1008,GPPL,25
1009,FOSECOIND,25
1010,SUPRAJIT,25
1011,EQUITAS,25
1012,MAYURUNIQ,25
1013,SANCO,25
1014,AKSHARCHEM,25
1015,EPL,25
1016,ALEMBICLTD,25
1017,MMFL,25
1018,CANFINHOME,25
1019,PARAGMILK,25
1020,MANGALAM,25
1021,MPHASIS,25
1022,UJJIVANSFB,25
1023,CSBBANK,25
1024,TIIL,24
1025,ZOTA,24
1026,BPCL,24
1027,FAIRCHEMOR,24
1028,GMBREW,24
1029,MFSL,24
1030,AUROPHARMA,24
1031,ZEELEARN,24
1032,SUDARSCHEM,24
1033,FEDERALBNK,24
1034,IBULHSGFIN,24
1035,BOSCHLTD,24
1036,CHAMBLFERT,24
1037,PIDILITIND,24
1038,TVSMOTOR,24
1039,NIPPOBATRY,24
1040,RECLTD,24
1041,TCNSBRANDS,24
1042,SANDESH,24
1043,BERGEPAINT,24
1044,APCOTEXIND,24
1045,PRESTIGE,24
1046,KICL,24
1047,CARERATING,24
1048,NELCAST,24
1049,ORBTEXP,24
1050,TATACONSUM,24
1051,ELGIRUBCO,24
1052,HINDZINC,24
1053,SANWARIA,24
1054,ATFL,24
1055,EMKAY,24
1056,ZODIACLOTH,24
1057,MHRIL,24
1058,MINDACORP,24
1059,EICHERMOT,24
1060,PILANIINVS,24
1061,DREDGECORP,24
1062,ASAHISONG,24
1063,NIACL,24
1064,RESPONIND,24
1065,IFBAGRO,24
1066,JAYBARMARU,24
1067,COFFEEDAY,24
1068,BBL,24
1069,AROGRANITE,23
1070,KESORAMIND,23
1071,SREEL,23
1072,HAVELLS,23
1073,STCINDIA,23
1074,ATLASCYCLE,23
1075,MENONBE,23
1076,HDFCLIFE,23
1077,SWARAJENG,23
1078,NUCLEUS,23
1079,VSTTILLERS,23
1080,THERMAX,23
1081,JUBLFOOD,23
1082,BFINVEST,23
1083,HERITGFOOD,23
1084,PIIND,23
1085,ULTRACEMCO,23
1086,DCBBANK,23
1087,ENDURANCE,23
1088,ENGINERSIN,23
1089,EMAMILTD,23
1090,INDNIPPON,23
1091,WONDERLA,23
1092,CORDSCABLE,23
1093,JUSTDIAL,23
1094,ARVINDFASN,23
1095,ZYDUSLIFE,23
1096,TTL,23
1097,AARTISURF,22
1098,VESUVIUS,22
1099,GREAVESCOT,22
1100,LAOPALA,22
1101,INDUSINDBK,22
1102,BALPHARMA,22
1103,LIKHITHA,22
1104,GODREJAGRO,22
1105,ORIENTLTD,22
1106,IIFLSEC,22
1107,ALPHAGEO,22
1108,RADIOCITY,22
1109,UTIAMC,22
1110,EIHAHOTELS,22
1111,SIS,22
1112,INDOCO,22
1113,BRNL,22
1114,KPIGREEN,22
1115,BANDHANBNK,22
1116,HIMATSEIDE,22
1117,OCCL,22
1118,CHOLAHLDNG,22
1119,SUPERHOUSE,22
1120,APOLLOTYRE,22
1121,BBTC,22
1122,SJVN,22
1123,HDFC,22
1124,MOTHERSON,22
1125,UMANGDAIRY,22
1126,CENTUM,22
1127,LGBBROSLTD,22
1128,VOLTAS,22
1129,SWSOLAR,22
1130,LICHSGFIN,22
1131,KSB,22
1132,TCI,22
1133,HUHTAMAKI,21
1134,IPCALAB,21
1135,FEL,21
1136,FMGOETZE,21
1137,ZEEL,21
1138,PUNJABCHEM,21
1139,SYMPHONY,21
1140,FCONSUMER,21
1141,RPPINFRA,21
1142,JTEKTINDIA,21
1143,DIAMONDYD,21
1144,RAMANEWS,21
1145,KREBSBIO,21
1146,INDIANHUME,21
1147,HCG,21
1148,KOLTEPATIL,21
1149,GAIL,21
1150,INDOSTAR,21
1151,BHARATFORG,21
1152,BRITANNIA,21
