,ticker,sharpe,returns
0,ANGELONE,13.732956909653335,5756.495976000049
1,ARVSMART,9.73869891603412,20326.594211999938
2,BFINVEST,7.091976298622328,35557.11594250001
3,LIKHITHA,5.411414178225543,5216.710909500034
4,SUVENPHAR,5.154761289721095,4841.736382000017
5,NITINSPIN,4.122717204076437,40575.73349525008
6,MUKTAARTS,3.92955058708145,59883.73314399988
7,RELAXO,3.925273123402957,25397.459728750007
8,TDPOWERSYS,3.7693006582547426,49082.748504499934
9,IDBI,3.277725552089358,35861.03259375002
10,SHREDIGCEM,2.863699867101959,45075.66167400003
11,WEBELSOLAR,2.7577267141324837,66925.63539500008
12,XCHANGING,2.415545363582328,63513.18987125013
13,AVADHSUGAR,2.343806544182903,53244.307707499975
14,ASALCBR,2.295919439956269,19869.121222999922
15,SRF,2.251960024480144,74375.62157474988
16,HAPPSTMNDS,2.237529630044808,26724.82958075001
17,CGCL,2.076997912717865,39016.72403200006
18,ORIENTELEC,2.012685680759515,40797.84254375001
19,POLYCAB,1.9750662975270905,20160.788134250062
20,COROMANDEL,1.8702714689555722,31154.41514950007
21,SKIL,1.8280444375304248,60516.31830999986
22,MSTCLTD,1.8139255883762215,35723.58817824998
23,CENTENKA,1.7340690076198486,40947.951915500045
24,VBL,1.6956127957751996,30929.381438749988
25,DHANUKA,1.6926205269002554,30302.418051250002
26,BALKRISIND,1.6579658122081629,22690.249497250014
27,MIDHANI,1.6535624990859639,40206.148052000004
28,TATAINVEST,1.6453982968158911,9417.247143749919
29,GMRINFRA,1.6214340149994038,90339.65544249996
30,SASKEN,1.5938795939884074,38323.09897175009
31,HARRMALAYA,1.5823375333038545,71508.86691499985
32,IDFC,1.5362461382960173,29139.666168250085
33,PGEL,1.5325119924415411,55934.65842625004
34,SJVN,1.4858183651352634,29022.036657499993
35,VIPCLOTHNG,1.4764229622017595,65551.0301712499
36,APOLSINHOT,1.4406522226680074,31968.180912249954
37,ARSHIYA,1.4378783624462346,72941.84334000002
38,MOLDTKPAC,1.4358435878947593,24762.858112500064
39,HAVELLS,1.416656465383611,42502.2383132501
40,AUBANK,1.4041917936236283,29669.28313325002
41,ATUL,1.3925872106391601,45304.39972675007
42,HATHWAY,1.3799348581037518,25079.600719999886
43,MAHESHWARI,1.3701592858938942,29291.791222249987
44,CHALET,1.3686084947604156,25640.78298124994
45,VOLTAS,1.3668889518388625,55544.30280475004
46,RAJTV,1.3642394239434386,51680.84794075019
47,RAJRATAN,1.3477254611161802,64546.976344250026
48,TBZ,1.3333263353211642,30593.056868999804
49,SMARTLINK,1.32249783845965,27781.122241249905
50,MOTILALOFS,1.322365303974574,23130.150228249986
51,HDFCLIFE,1.3167107229558708,46049.49213600007
52,JSWSTEEL,1.3077371217389857,44959.714063750114
53,STEELXIND,1.305918747448714,101734.76398775008
54,GRANULES,1.298202519414165,29335.20275700002
55,DMART,1.2890164137288698,30216.64210875002
56,DUCON,1.2883968852309862,76088.20910599997
57,ALICON,1.287797079297575,29417.569154749974
58,HIRECT,1.2830112931759798,21463.758527500016
59,SCHAND,1.270029494107721,14209.761621750018
60,RICOAUTO,1.26633983521283,40861.25757700007
61,LSIL,1.263797061444246,58047.40688499989
62,ASHAPURMIN,1.2608756397075913,44062.70674574998
63,ALEMBICLTD,1.2354010799366817,26492.03095174994
64,HINDZINC,1.2178358024076077,27658.882858499972
65,LAMBODHARA,1.2165112444583766,66716.85782325
66,JSLHISAR,1.2086460999303343,59180.02041499992
67,DLF,1.2015912315183188,35826.231897249876
68,PNBGILTS,1.1961752480636545,29741.853572250024
69,SAGARDEEP,1.1840543145321833,61640.25390099987
70,MANINFRA,1.1803240093429772,97113.60748900007
71,FINPIPE,1.173609179451502,34189.22784499999
72,TATACOMM,1.1720637849838784,27283.910532249953
73,DEEPAKNTR,1.1715278688728001,61413.57010000004
74,MARINE,1.1703344419314874,89682.08658500007
75,AAKASH,1.161342791799629,54465.50518850004
76,PDSL,1.1600508501134237,42837.85508825007
77,SANGAMIND,1.1589935305401562,43584.415904749825
78,PRINCEPIPE,1.1516094238748646,19830.51609725
79,BANARISUG,1.1485449821913976,47316.293283000065
80,CORDSCABLE,1.1480763120224593,37619.34381125009
81,PIDILITIND,1.1471181144004183,26358.705837500034
82,ONMOBILE,1.1414368982214351,47308.6681420001
83,LALPATHLAB,1.1367778653647935,56753.36628450005
84,GRAVITA,1.1242785799633686,29275.95492274988
85,FORTIS,1.1188436527671186,23005.189388750034
86,ZODIACLOTH,1.1187713715063543,93220.70398825023
87,HINDWAREAP,1.1182400436465578,14866.271736749972
88,TRENT,1.1145336377559305,23097.188526500046
89,ADANIENT,1.088661602702035,100434.16743900001
90,INDIACEM,1.0772636820622308,69692.27499175008
91,MAZDA,1.0755151520492034,16202.69267675004
92,ZOTA,1.0580834257078264,25006.66282975
93,VTL,1.0449650602955485,29014.506908499985
94,ADANIGREEN,1.044111708265843,47875.18132500016
95,JKLAKSHMI,1.0334241885194815,12724.76732225006
96,DBREALTY,1.0168988519413282,20570.68160875005
97,TOKYOPLAST,1.0159402516997145,25780.780707500046
98,UNIVCABLES,1.0032970983412468,18799.49031099993
99,ARIHANTSUP,0.9990987661914333,83565.94405149989
100,TECHM,0.9941648377538649,44745.12317124999
101,PIIND,0.9940027067642823,26758.997715999983
102,SUNDRMBRAK,0.9893276694527925,45764.272162499954
103,DIVISLAB,0.9813562876633316,40379.183420250076
104,SKFINDIA,0.972471414250006,22283.54241675003
105,SANDESH,0.968076200167919,77556.66730650014
106,OCCL,0.9610106261353272,19683.399795000005
107,CYBERTECH,0.9577008243633105,40211.88061874997
108,AARTIIND,0.9572567334257623,31073.695542249916
109,UTIAMC,0.9483020789566305,16454.942154749995
110,TEJASNET,0.9456357858342985,24481.02351224993
111,IGL,0.9434637829620427,40896.18422724996
112,ASIANTILES,0.9429612205046803,51847.17065349987
113,EPL,0.9378678083567112,48890.98158950012
114,PILITA,0.9283679353197305,54184.24713250005
115,ESABINDIA,0.9172431774999283,50707.71485624992
116,ENERGYDEV,0.9106774530447463,64522.45463100006
117,AURUM,0.9084945149347803,33958.03281900007
118,SPECIALITY,0.9058932223457118,34518.128853750095
119,NELCAST,0.9058209064200454,35337.121020750026
120,DWARKESH,0.8987843012064746,58639.00327849982
121,KILITCH,0.8984404213026477,27285.48700299993
122,FACT,0.8978669136786646,137130.29175250017
123,KIRLOSIND,0.897509932122915,35696.34117974999
124,MATRIMONY,0.8972602581769638,35785.17022300005
125,TEMBO,0.8878096098599391,48711.10340975001
126,NAVINFLUOR,0.8794137996198187,44325.40574200015
127,VIDHIING,0.8783426299200384,20521.779926000047
128,COMPINFO,0.8762535881399469,9885.159853749909
129,TTML,0.8741332632241487,64707.302001250006
130,INDHOTEL,0.8708012383656016,28641.134710749917
131,GULFPETRO,0.8558745716865764,56184.88808824995
132,MARATHON,0.8527322836548518,61080.544715499826
133,BPL,0.8517381726614635,36454.602842500026
134,VAIBHAVGBL,0.8507568164869554,56675.36572275011
135,SIS,0.8505665552999361,19527.282206250035
