date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2018-07-02 00:00:00+05:30,300000.0000,300000.0000,0.0000,0.0000,300000.0000,0.0000,0.0000,0.0000,0.0000,300000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,300000.0000,0.0000,,
2018-07-03 00:00:00+05:30,295789.0600,168448.5500,0.0000,0.0000,300000.0000,131355.0000,-4014.4900,0.0000,-4210.9400,295789.0600,196.4500,0.0000,-4210.9400,4.4400,-4.4400,1313700.0000,-1313700.0000,0.0000,1313700.0000,0,1,-0.0140,-0.0140,0.1571,-0.0140,,,301422.9683,0.0047,,
2018-07-04 00:00:00+05:30,288239.0600,167677.3000,0.0000,0.0000,300000.0000,132126.2500,-11564.4900,0.0000,-11760.9400,288239.0600,196.4500,0.0000,-7550.0000,4.5800,-4.5800,1321250.0000,-1321250.0000,0.0000,1321250.0000,0,1,-0.0255,-0.0392,0.2666,-0.0392,,,303218.9204,0.0060,,
2018-07-05 00:00:00+05:30,285294.0600,167413.3000,0.0000,0.0000,300000.0000,132390.2500,-14509.4900,0.0000,-14705.9400,285294.0600,196.4500,0.0000,-2945.0000,4.6400,-4.6400,1324195.0000,-1324195.0000,0.0000,1324195.0000,0,1,-0.0102,-0.0490,0.2447,-0.0490,,,302705.1880,-0.0017,,
2018-07-06 00:00:00+05:30,285234.0600,167363.3000,0.0000,0.0000,300000.0000,132440.2500,-14569.4900,0.0000,-14765.9400,285234.0600,196.4500,0.0000,-60.0000,4.6400,-4.6400,1324255.0000,-1324255.0000,0.0000,1324255.0000,0,1,-0.0002,-0.0492,0.2189,-0.0492,,,303172.4733,0.0015,,
2018-07-09 00:00:00+05:30,274899.4100,111886.7600,0.0000,0.0000,300000.0000,187835.5000,-24822.8500,0.0000,-25100.5900,274899.4100,277.7400,0.0000,-10334.6500,6.8300,-2.8800,1878400.0000,-792600.0000,542900.0000,1335500.0000,1,1,-0.0362,-0.0837,0.3082,-0.0837,,,305454.0081,0.0075,,
2018-07-10 00:00:00+05:30,280812.3800,81083.4400,0.0000,0.0000,300000.0000,189155.0000,10573.9400,-29082.1900,-19187.6200,280812.3800,679.3700,0.0000,5912.9700,6.7300,6.7300,1891250.0000,1891250.0000,1891250.0000,0.0000,2,0,0.0215,-0.0640,0.3131,-0.0640,,,308157.7886,0.0089,,
2018-07-11 00:00:00+05:30,275637.3800,81083.4400,0.0000,0.0000,300000.0000,189155.0000,5398.9400,-29082.1900,-24362.6200,275637.3800,679.3700,0.0000,-5175.0000,6.8400,6.8400,1886075.0000,1886075.0000,1886075.0000,0.0000,2,0,-0.0184,-0.0812,0.3106,-0.0812,,,308019.8549,-0.0004,,
2018-07-12 00:00:00+05:30,289627.3100,143455.2600,0.0000,0.0000,300000.0000,134939.7500,11232.3000,-20843.1000,-10372.6900,289627.3100,761.8900,0.0000,13989.9300,4.6600,4.6600,1350000.0000,1350000.0000,1350000.0000,0.0000,1,0,0.0508,-0.0346,0.3975,-0.0346,,,310077.5994,0.0067,,
2018-07-13 00:00:00+05:30,286786.6100,88166.4100,0.0000,0.0000,300000.0000,190145.7900,8474.4100,-20843.1000,-13213.3900,286786.6100,844.7000,0.0000,-2840.7000,6.6200,6.6200,1899302.5000,1899302.5000,1899302.5000,0.0000,2,0,-0.0098,-0.0440,0.3803,-0.0440,,,310264.7950,0.0006,,
2018-07-16 00:00:00+05:30,270926.6100,88166.4100,0.0000,0.0000,300000.0000,190145.7900,-7385.5900,-20843.1000,-29073.3900,270926.6100,844.7000,0.0000,-15860.0000,6.9500,6.9500,1883442.5000,1883442.5000,1883442.5000,0.0000,2,0,-0.0553,-0.0969,0.4489,-0.0969,,,307977.6304,-0.0074,,
2018-07-17 00:00:00+05:30,292106.6100,87748.1600,0.0000,0.0000,300000.0000,190564.0400,13794.4100,-20843.1000,-7893.3900,292106.6100,844.7000,0.0000,21180.0000,6.5200,6.5200,1904622.5000,1904622.5000,1904622.5000,0.0000,2,0,0.0782,-0.0263,0.5596,-0.0263,,,310073.3769,0.0068,,
2018-07-18 00:00:00+05:30,285184.1100,87748.1600,0.0000,0.0000,300000.0000,190564.0400,6871.9100,-20843.1000,-14815.8900,285184.1100,844.7000,0.0000,-6922.5000,6.6500,6.6500,1897700.0000,1897700.0000,1897700.0000,0.0000,2,0,-0.0237,-0.0494,0.5477,-0.0494,,,309181.0308,-0.0029,,
2018-07-19 00:00:00+05:30,279276.6100,87748.1600,0.0000,0.0000,300000.0000,190564.0400,964.4100,-20843.1000,-20723.3900,279276.6100,844.7000,0.0000,-5907.5000,6.7700,6.7700,1891792.5000,1891792.5000,1891792.5000,0.0000,2,0,-0.0207,-0.0691,0.5350,-0.0691,,,308723.5979,-0.0015,,
2018-07-20 00:00:00+05:30,285514.1100,87748.1600,0.0000,0.0000,300000.0000,190564.0400,7201.9100,-20843.1000,-14485.8900,285514.1100,844.7000,0.0000,6237.5000,6.6500,6.6500,1898030.0000,1898030.0000,1898030.0000,0.0000,2,0,0.0223,-0.0483,0.5249,-0.0483,,,309983.2978,0.0041,,
2018-07-23 00:00:00+05:30,294999.1100,87476.7000,0.0000,0.0000,300000.0000,190835.5000,16686.9100,-20843.1000,-5000.8900,294999.1100,844.7000,0.0000,9485.0000,6.4700,6.4700,1907515.0000,1907515.0000,1907515.0000,0.0000,2,0,0.0332,-0.0167,0.5250,-0.0167,,,311872.1440,0.0061,,
2018-07-24 00:00:00+05:30,295136.6100,87264.2000,0.0000,0.0000,300000.0000,191048.0000,16824.4100,-20843.1000,-4863.3900,295136.6100,844.7000,0.0000,137.5000,6.4600,6.4600,1907652.5000,1907652.5000,1907652.5000,0.0000,2,0,0.0005,-0.0162,0.5093,-0.0162,,,313395.0438,0.0049,,
2018-07-25 00:00:00+05:30,295686.6100,87264.2000,0.0000,0.0000,300000.0000,191048.0000,17374.4100,-20843.1000,-4313.3900,295686.6100,844.7000,0.0000,550.0000,6.4500,6.4500,1908202.5000,1908202.5000,1908202.5000,0.0000,2,0,0.0019,-0.0144,0.4950,-0.0144,,,313106.5092,-0.0009,,
2018-07-26 00:00:00+05:30,315287.9400,121198.9300,0.0000,0.0000,300000.0000,193370.5000,718.5100,15993.2000,15287.9400,315287.9400,1423.7700,0.0000,19601.3300,6.1300,6.1300,1933540.0000,1933540.0000,1933540.0000,0.0000,2,0,0.0663,0.0510,0.5389,0.0000,,,314833.4944,0.0055,,
2018-07-27 00:00:00+05:30,324278.5100,180169.5600,0.0000,0.0000,300000.0000,138144.0000,5964.9500,20234.2200,24278.5100,324278.5100,1920.6600,0.0000,8990.5700,4.2600,4.2600,1381490.0000,1381490.0000,1381490.0000,0.0000,1,0,0.0285,0.0809,0.5349,0.0000,,,317314.8921,0.0079,,
2018-07-30 00:00:00+05:30,336132.8300,122294.1200,0.0000,0.0000,300000.0000,195934.5000,17904.2100,20234.2200,36132.8300,336132.8300,2005.6100,0.0000,11854.3200,5.8300,5.8300,1959730.0000,1959730.0000,1959730.0000,0.0000,2,0,0.0366,0.1204,0.5372,0.0000,,,318454.9558,0.0036,,
2018-07-31 00:00:00+05:30,335685.3300,122112.3700,0.0000,0.0000,300000.0000,196116.2500,17456.7100,20234.2200,35685.3300,335685.3300,2005.6100,0.0000,-447.5000,5.8400,5.8400,1959282.5000,1959282.5000,1959282.5000,0.0000,2,0,-0.0013,0.1190,0.5249,-0.0013,,,319703.3958,0.0039,,
