,open_dt,close_dt,symbol,amount,buy,sell,long,pnl,rt_returns,duration,returns
0,2018-09-05 09:17:00+05:30,2018-09-11 14:59:00+05:30,NIFTY20180927FUT,50.0,11350.02,11553.69,False,10183.500000000004,0.017944461771873536,6 days 05:42:00,0.03389830057118979
1,2018-09-05 09:17:00+05:30,2018-09-12 09:17:00+05:30,BANKNIFTY20180927FUT,50.0,26895.38,27539.64,False,32212.99999999992,0.023954299957836565,7 days 00:00:00,0.10722894449842722
2,2018-09-17 09:17:00+05:30,2018-09-19 14:20:00+05:30,NIFTY20180927FUT,50.0,11274.6,11449.51,False,8745.499999999993,0.015513632412679817,2 days 05:03:00,0.02370877711100897
3,2018-09-17 09:17:00+05:30,2018-09-21 12:40:00+05:30,BANKNIFTY20180927FUT,50.0,26267.6,26959.61,False,34600.5000000001,0.02634462227230512,4 days 03:23:00,0.09380087386992957
4,2018-09-25 09:17:00+05:30,2018-09-26 09:17:00+05:30,NIFTY20180927FUT,50.0,11131.33,10969.06,False,-8113.500000000022,-0.014577772826787135,1 days 00:00:00,-0.023484539496792682
5,2018-09-25 09:17:00+05:30,2018-09-26 09:17:00+05:30,BANKNIFTY20180927FUT,50.0,25463.24,24854.18,False,-30453.000000000065,-0.023919187031972416,1 days 00:00:00,-0.08814626009685428
6,2018-09-27 09:17:00+05:30,2018-09-27 15:16:00+05:30,BANKNIFTY20181025FUT,50.0,25029.95,25319.94,False,14499.499999999898,0.011585720307072046,0 days 05:59:00,0.04007024196379448
7,2018-09-28 09:17:00+05:30,2018-10-01 11:30:00+05:30,NIFTY20181025FUT,50.0,10871.12,11086.78,False,10782.999999999993,0.01983788238930302,3 days 02:13:00,0.10437138027150157
8,2018-10-03 09:17:00+05:30,2018-10-04 09:17:00+05:30,NIFTY20181025FUT,50.0,10788.56,11001.6,False,10652.000000000044,0.019746842952164226,1 days 00:00:00,
9,2018-10-05 09:17:00+05:30,2018-10-05 15:13:00+05:30,NIFTY20181025FUT,50.0,10362.07,10555.89,False,9690.999999999985,0.018704756868077488,0 days 05:56:00,0.026515286914223106
10,2018-09-27 15:16:00+05:30,2018-10-05 15:17:00+05:30,BANKNIFTY20181025FUT,50.0,24405.98,25161.32,False,37767.00000000001,0.03094897234202438,8 days 00:01:00,
11,2018-10-08 09:17:00+05:30,2018-10-10 10:02:00+05:30,NIFTY20181025FUT,50.0,10435.04,10313.99,False,-6052.500000000055,-0.011600338858308265,2 days 00:45:00,-0.014139806038539503
12,2018-10-11 09:17:00+05:30,2018-10-12 09:17:00+05:30,BANKNIFTY20181025FUT,50.0,24702.94,25246.55,True,27180.50000000003,0.022005882700601654,1 days 00:00:00,0.05938732850230607
13,2018-10-11 09:17:00+05:30,2018-10-12 09:21:00+05:30,NIFTY20181025FUT,50.0,10214.49,10406.47,True,9598.999999999978,0.018794868857867554,1 days 00:04:00,0.02097308608353908
14,2018-10-15 09:17:00+05:30,2018-10-17 09:17:00+05:30,NIFTY20181025FUT,50.0,10468.44,10688.01,True,10978.499999999985,0.020974471841076578,2 days 00:00:00,0.02281285007729893
15,2018-10-22 09:17:00+05:30,2018-10-22 15:14:00+05:30,NIFTY20181025FUT,50.0,10214.74,10351.03,False,6814.500000000044,0.013342483509125135,0 days 05:57:00,-0.03405044111596838
16,2018-10-15 09:17:00+05:30,2018-10-23 09:17:00+05:30,BANKNIFTY20181025FUT,50.0,25243.0,24915.27,True,-16386.499999999978,-0.012983005189557483,8 days 00:00:00,0.014865873369242473
17,2018-10-24 09:17:00+05:30,2018-10-25 10:44:00+05:30,NIFTY20181025FUT,50.0,10082.97,10248.5,False,8276.500000000033,0.016416789894247497,1 days 01:27:00,0.017204645206394902
18,2018-10-24 09:17:00+05:30,2018-10-25 15:16:00+05:30,BANKNIFTY20181129FUT,50.0,24803.96,25203.71,False,19987.5,0.016116378191224304,1 days 05:59:00,0.041548703686681177
19,2018-10-25 15:16:00+05:30,2018-10-26 14:15:00+05:30,BANKNIFTY20181129FUT,50.0,24631.38,24913.02,False,14081.99999999997,0.011434194917215333,0 days 22:59:00,0.027987873988264234
20,2018-10-26 09:17:00+05:30,2018-10-29 15:02:00+05:30,NIFTY20181129FUT,50.0,10264.05,10111.03,False,-7650.999999999931,-0.014908345146408935,3 days 05:45:00,
21,2018-10-31 09:17:00+05:30,2018-10-31 15:07:00+05:30,NIFTY20181129FUT,50.0,10264.0,10396.72,True,6635.999999999967,0.012930631332813655,0 days 05:50:00,0.013873696965383783
