date,NIFTY-I,BANKNIFTY-I
2018-09-03 15:35:00+05:30,,
2018-09-04 15:35:00+05:30,,
2018-09-05 15:35:00+05:30,-50.0,-50.0
2018-09-06 15:35:00+05:30,-50.0,-50.0
2018-09-07 15:35:00+05:30,-50.0,-50.0
2018-09-10 15:35:00+05:30,-50.0,-50.0
2018-09-11 15:35:00+05:30,,-50.0
2018-09-12 15:35:00+05:30,,
2018-09-14 15:35:00+05:30,,
2018-09-17 15:35:00+05:30,-50.0,-50.0
2018-09-18 15:35:00+05:30,-50.0,-50.0
2018-09-19 15:35:00+05:30,,-50.0
2018-09-21 15:35:00+05:30,,
2018-09-24 15:35:00+05:30,,
2018-09-25 15:35:00+05:30,-50.0,-50.0
2018-09-26 15:35:00+05:30,,
2018-09-27 15:35:00+05:30,,-50.0
2018-09-28 15:35:00+05:30,-50.0,-50.0
2018-10-01 15:35:00+05:30,,-50.0
2018-10-03 15:35:00+05:30,-50.0,-50.0
2018-10-04 15:35:00+05:30,,-50.0
2018-10-05 15:35:00+05:30,,
2018-10-08 15:35:00+05:30,-50.0,
2018-10-09 15:35:00+05:30,-50.0,
2018-10-10 15:35:00+05:30,,
2018-10-11 15:35:00+05:30,50.0,50.0
2018-10-12 15:35:00+05:30,,
2018-10-15 15:35:00+05:30,50.0,50.0
2018-10-16 15:35:00+05:30,50.0,50.0
2018-10-17 15:35:00+05:30,,50.0
2018-10-19 15:35:00+05:30,,50.0
2018-10-22 15:35:00+05:30,,50.0
2018-10-23 15:35:00+05:30,,
2018-10-24 15:35:00+05:30,-50.0,-50.0
2018-10-25 15:35:00+05:30,,-50.0
2018-10-26 15:35:00+05:30,-50.0,
2018-10-29 15:35:00+05:30,,
2018-10-30 15:35:00+05:30,,-50.0
2018-10-31 15:35:00+05:30,,-50.0
2018-11-01 15:35:00+05:30,50.0,-50.0
