Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,569.75,572.4500122070312,563.25,566.0,550.8561401367188,520139
2017-01-03,566.7999877929688,576.7999877929688,562.0,573.6500244140625,558.3015747070312,626867
2017-01-04,572.9500122070312,576.0,567.5,568.25,553.0459594726562,729355
2017-01-05,570.2000122070312,581.5,569.2999877929688,579.8499755859375,564.3356323242188,919562
2017-01-06,580.0499877929688,591.0,577.2000122070312,582.8499755859375,567.25537109375,851729
2017-01-09,583.5499877929688,588.9500122070312,574.9000244140625,576.7000122070312,561.27001953125,545949
2017-01-10,577.5,582.9000244140625,573.5999755859375,574.9000244140625,559.5181274414062,430654
2017-01-11,576.9500122070312,579.0,569.5,576.9500122070312,561.5132446289062,543706
2017-01-12,573.9500122070312,587.7999877929688,567.2999877929688,586.25,570.5643920898438,1086059
2017-01-13,587.0,589.0999755859375,579.4500122070312,583.4000244140625,567.7906494140625,557024
2017-01-16,577.4000244140625,592.0,577.4000244140625,588.7999877929688,573.046142578125,634510
2017-01-17,590.5,592.0,581.2000122070312,587.25,571.5376586914062,737937
2017-01-18,588.7999877929688,593.4000244140625,577.3499755859375,580.7999877929688,565.26025390625,591422
2017-01-19,582.2999877929688,587.4000244140625,573.3499755859375,580.3499755859375,564.822265625,772657
2017-01-20,583.7999877929688,592.5,574.4000244140625,577.5999755859375,562.1458129882812,1100568
2017-01-23,574.4500122070312,583.4500122070312,573.0,575.75,560.3453369140625,1197343
2017-01-24,574.7000122070312,581.2999877929688,574.0999755859375,579.9000244140625,564.38427734375,527089
2017-01-25,581.25,588.8499755859375,577.6500244140625,585.6500244140625,569.9805297851562,888914
2017-01-27,584.7000122070312,591.4000244140625,579.4500122070312,580.1500244140625,564.6276245117188,622149
2017-01-30,578.7000122070312,584.5499877929688,577.1500244140625,582.25,566.67138671875,589553
2017-01-31,581.5499877929688,583.0,572.5999755859375,575.3499755859375,559.9559936523438,712955
2017-02-01,573.0,579.25,566.2999877929688,572.1500244140625,556.8416748046875,873328
2017-02-02,575.0,587.0,567.0499877929688,584.3499755859375,568.7151489257812,1033116
2017-02-03,584.2999877929688,611.5,580.4000244140625,607.9000244140625,591.6351318359375,2491068
2017-02-06,610.3499755859375,621.25,599.0999755859375,601.5999755859375,585.503662109375,2513820
2017-02-07,601.7999877929688,608.0,594.5999755859375,597.5499877929688,581.56201171875,1084820
2017-02-08,600.0,609.0,597.75,603.2000122070312,587.0608520507812,2122225
2017-02-09,611.0,611.5499877929688,584.4500122070312,587.6500244140625,571.927001953125,4192748
2017-02-10,592.0,593.75,576.7999877929688,579.9500122070312,564.4329833984375,1485266
2017-02-13,582.7000122070312,585.4000244140625,576.0499877929688,582.6500244140625,567.0606689453125,946922
2017-02-14,582.0,586.5999755859375,574.0999755859375,576.0499877929688,560.6373291015625,816754
