Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,249.0,249.0,245.0,245.75,237.9291229248047,108410
2017-02-27,248.10000610351562,251.0,245.60000610351562,249.625,241.68080139160156,9568
2017-02-28,253.1999969482422,253.35000610351562,246.0,249.8000030517578,241.85023498535156,407786
2017-03-01,250.5,256.0,249.47500610351562,253.5749969482422,245.5050811767578,164308
2017-03-02,251.10000610351562,267.5,251.10000610351562,259.2749938964844,251.023681640625,37146
2017-03-03,259.375,262.45001220703125,256.95001220703125,261.25,252.9358367919922,218956
2017-03-06,261.5,266.5,258.25,263.8999938964844,255.50148010253906,327606
2017-03-07,263.7250061035156,265.0,262.0,264.125,255.71929931640625,124942
2017-03-08,264.7749938964844,265.0,257.0,258.75,250.51539611816406,8568
2017-03-09,260.0,263.25,259.4750061035156,261.6000061035156,253.27471923828125,322318
2017-03-10,265.0,266.82501220703125,261.5,263.0249938964844,254.65432739257812,429828
2017-03-14,262.75,265.5,261.3999938964844,264.9750061035156,256.54229736328125,146614
2017-03-15,264.2250061035156,265.25,263.1000061035156,264.32501220703125,255.9129638671875,8524
2017-03-16,264.625,279.8500061035156,263.0249938964844,276.0249938964844,267.2406005859375,237008
2017-03-17,277.5,290.0,277.5,287.54998779296875,278.39886474609375,223346
2017-03-20,290.0,316.57501220703125,289.9750061035156,304.0,294.3253479003906,331530
2017-03-21,307.0,313.0,296.07501220703125,297.6000061035156,288.1290588378906,136046
2017-03-22,296.79998779296875,297.45001220703125,287.5,290.0,280.7708740234375,442798
2017-03-23,294.8999938964844,294.8999938964844,269.5,272.17498779296875,263.51312255859375,395408
2017-03-24,269.0,273.95001220703125,246.0,246.9499969482422,239.0909423828125,1974626
2017-03-27,248.8000030517578,253.5,215.25,231.14999389648438,223.7937469482422,841779
2017-03-28,233.0500030517578,277.3500061035156,233.0500030517578,277.3500061035156,268.5234680175781,360079
2017-03-29,286.79998779296875,306.8999938964844,277.6499938964844,281.0,272.05731201171875,487534
2017-03-30,278.0,284.8500061035156,275.0,277.25,268.4266662597656,55617
2017-03-31,279.8500061035156,283.95001220703125,270.20001220703125,271.54998779296875,262.9080505371094,53804
2017-04-03,276.0,277.0,266.04998779296875,267.25,258.744873046875,27121
2017-04-05,267.29998779296875,283.95001220703125,256.6000061035156,270.04998779296875,261.45574951171875,62633
2017-04-06,272.0,292.0,269.1000061035156,290.3999938964844,281.15814208984375,155738
2017-04-07,302.0,319.79998779296875,298.70001220703125,302.6000061035156,292.9698791503906,491529
2017-04-10,297.0,304.79998779296875,284.20001220703125,289.95001220703125,280.7225036621094,68101
2017-04-11,289.8500061035156,298.8999938964844,284.25,293.8999938964844,284.5467529296875,46922
2017-04-12,296.8500061035156,301.79998779296875,285.0,290.1000061035156,280.8677062988281,44101
2017-04-13,289.95001220703125,294.0,283.0,285.6000061035156,276.51092529296875,25642
2017-04-17,283.0,291.3999938964844,283.0,286.95001220703125,277.8179626464844,15788
2017-04-18,289.95001220703125,294.0,287.04998779296875,290.0,280.7708740234375,26296
2017-04-19,290.6499938964844,297.20001220703125,287.0,292.29998779296875,282.9976501464844,20322
2017-04-20,297.6499938964844,297.6499938964844,287.0,287.8999938964844,278.7377014160156,17577
2017-04-21,289.25,293.3999938964844,284.25,285.54998779296875,276.4624938964844,13435
2017-04-24,288.1499938964844,291.0,285.8999938964844,286.3999938964844,277.28546142578125,15105
2017-04-25,288.3999938964844,289.0,275.5,281.45001220703125,272.4930114746094,21208
2017-04-26,281.0,286.70001220703125,281.0,282.79998779296875,273.8000183105469,13149
2017-04-27,282.20001220703125,284.1000061035156,276.6499938964844,279.70001220703125,270.7986755371094,12896
2017-04-28,286.0,286.79998779296875,271.54998779296875,277.75,268.9107360839844,12475
2017-05-02,276.1499938964844,285.0,273.6000061035156,278.6499938964844,269.7821044921875,17968
2017-05-03,281.3999938964844,281.3999938964844,271.54998779296875,273.20001220703125,264.50555419921875,15858
2017-05-04,272.25,272.8999938964844,262.29998779296875,267.1000061035156,258.5997009277344,23034
2017-05-05,269.95001220703125,269.95001220703125,260.5,263.45001220703125,255.06585693359375,17437
2017-05-08,265.04998779296875,265.04998779296875,251.6999969482422,253.6999969482422,245.62611389160156,38908
2017-05-09,255.0,255.0,245.0,247.14999389648438,239.28456115722656,45258
2017-05-10,251.89999389648438,272.29998779296875,250.0,257.6499938964844,249.45040893554688,46788
2017-05-11,251.0,255.0500030517578,245.0,248.4499969482422,240.543212890625,37662
2017-05-12,250.0500030517578,252.39999389648438,239.5,240.0500030517578,232.4105224609375,34819
2017-05-15,241.14999389648438,241.14999389648438,234.0,234.6999969482422,227.23077392578125,19685
2017-05-16,235.5500030517578,238.0,228.0,230.14999389648438,222.82557678222656,61742
2017-05-17,234.0,238.8000030517578,227.0,228.35000610351562,221.08287048339844,71383
2017-05-18,229.8000030517578,229.8000030517578,221.60000610351562,223.5500030517578,216.4356231689453,24084
2017-05-19,224.0500030517578,226.0,216.5500030517578,218.64999389648438,211.69154357910156,23668
2017-05-22,221.0500030517578,221.0500030517578,215.0,215.4499969482422,208.59339904785156,11835
2017-05-23,218.64999389648438,218.64999389648438,210.6999969482422,211.5500030517578,204.81752014160156,12482
2017-05-24,206.0,215.25,206.0,212.4499969482422,205.68887329101562,13671
2017-05-25,215.5,216.5,210.10000610351562,215.0,208.15773010253906,9490
2017-05-26,211.0,223.10000610351562,211.0,219.64999389648438,212.65972900390625,7940
2017-05-29,218.0,223.9499969482422,215.0,216.89999389648438,209.9972686767578,14398
2017-05-30,215.0,215.0,206.1999969482422,209.0500030517578,202.3970947265625,21038
2017-05-31,212.0,212.0,207.0,208.14999389648438,201.5257110595703,7243
2017-06-01,209.0,211.75,208.25,209.10000610351562,202.44549560546875,5513
2017-06-02,211.5,211.5,206.75,208.0,201.3804931640625,5257
2017-06-05,210.0,211.0,205.10000610351562,209.5,202.832763671875,14102
2017-06-06,209.0,212.14999389648438,208.85000610351562,210.6999969482422,203.99456787109375,6961
2017-06-07,210.0,210.89999389648438,208.0,210.4499969482422,203.7525177001953,6228
2017-06-08,210.3000030517578,212.4499969482422,209.25,209.89999389648438,203.2200164794922,6126
2017-06-09,205.9499969482422,212.0,205.9499969482422,207.5500030517578,200.94480895996094,7929
2017-06-12,208.0,211.0,205.6999969482422,208.75,202.10662841796875,10224
2017-06-13,207.0,211.60000610351562,202.1999969482422,208.35000610351562,201.71937561035156,7085
2017-06-14,206.14999389648438,210.0,201.25,209.8000030517578,203.1232147216797,10981
2017-06-15,207.10000610351562,207.9499969482422,205.14999389648438,206.10000610351562,199.5409698486328,4814
2017-06-16,208.0,211.85000610351562,206.60000610351562,207.9499969482422,201.33209228515625,5842
2017-06-19,207.0,209.0,200.1999969482422,206.0500030517578,199.49256896972656,11270
2017-06-20,209.5,209.5,205.0,206.89999389648438,200.3155059814453,29671
2017-06-21,213.5,214.8000030517578,203.14999389648438,204.35000610351562,197.84666442871094,17500
2017-06-22,206.0,207.8000030517578,203.0,203.8000030517578,197.3141632080078,15606
2017-06-23,203.0,205.75,200.0,200.89999389648438,194.50643920898438,9293
2017-06-27,209.5,234.0,209.5,220.3000030517578,213.2890625,272158
2017-06-28,219.9499969482422,224.5,214.39999389648438,217.4499969482422,210.52975463867188,72956
2017-06-29,219.9499969482422,229.0,215.1999969482422,217.85000610351562,210.9170379638672,53972
2017-06-30,220.0,224.5,215.10000610351562,219.60000610351562,212.61134338378906,26385
2017-07-03,220.0,223.8000030517578,218.0,220.5500030517578,213.53109741210938,17642
2017-07-04,223.89999389648438,223.89999389648438,215.10000610351562,216.75,209.85203552246094,17682
2017-07-05,221.5,221.5,215.10000610351562,216.3000030517578,209.41635131835938,10615
2017-07-06,216.4499969482422,222.8000030517578,215.0,215.10000610351562,208.25454711914062,13727
2017-07-07,213.75,217.5,213.75,214.85000610351562,208.0124969482422,16147
2017-07-10,214.0,222.0,214.0,215.3000030517578,208.44818115234375,6686
2017-07-11,217.0,221.5500030517578,215.0,219.60000610351562,212.61134338378906,37052
2017-07-12,223.89999389648438,223.89999389648438,216.9499969482422,218.0,211.06224060058594,6756
2017-07-13,223.39999389648438,223.39999389648438,217.10000610351562,218.64999389648438,211.69154357910156,27634
2017-07-14,217.0500030517578,220.0,215.10000610351562,217.6999969482422,210.7718048095703,11842
2017-07-17,215.14999389648438,220.0,212.10000610351562,214.25,207.4315948486328,8979
2017-07-18,213.0,216.0,212.0,212.1999969482422,205.4468536376953,7960
2017-07-19,212.10000610351562,214.5,210.39999389648438,212.6999969482422,205.93092346191406,7843
2017-07-20,211.4499969482422,213.14999389648438,211.0,211.4499969482422,204.720703125,4628
2017-07-21,215.89999389648438,215.9499969482422,209.8000030517578,210.10000610351562,203.4136505126953,11184
2017-07-24,210.0,214.0,209.5,210.5500030517578,203.84933471679688,3615
2017-07-25,210.0,214.5,209.0,213.60000610351562,206.8022918701172,5751
2017-07-26,216.0,219.0,210.6999969482422,217.8000030517578,210.86862182617188,16177
2017-07-27,219.4499969482422,219.4499969482422,211.6999969482422,215.0,208.15773010253906,3450
