Symbol,Ticker,,,,,,,,,
,,,,,,,,,,
SBIN,SBIN.NS,,,,,,,,,
M&M,M&M.NS,,,,,,,,,
POWERGRID,POWERGRID.NS,,,,,,,,,
ULTRACEMCO,ULTRACEMCO.NS,,,,,,,,,
ADANIPORTS,ADANIPORTS.NS,,,,,,,,,
EICHERMOT,EICHERMOT.NS,,,,,,,,,
BPCL,BPCL.NS,,,,,,,,,
JSWSTEEL,JSWSTEEL.NS,,,,,,,,,
HEROMOTOCO,HEROMOTOCO.NS,,,,,,,,,
ITC,ITC.NS,,,,,,,,,
TITAN,TITAN.NS,,,,,,,,,
ADANIENT,ADANIENT.NS,,,,,,,,,
TATAMOTORS,TATAMOTORS.NS,,,,,,,,,
UPL,UPL.NS,,,,,,,,,
ICICIBANK,ICICIBANK.NS,,,,,,,,,
NTPC,NTPC.NS,,,,,,,,,
MARUTI,MARUTI.NS,,,,,,,,,
APOLLOHOSP,APOLLOHOSP.NS,,,,,,,,,
TATASTEEL,TATASTEEL.NS,,,,,,,,,
KOTAKBANK,KOTAKBANK.NS,,,,,,,,,
LT,LT.NS,,,,,,,,,
HINDUNILVR,HINDUNILVR.NS,,,,,,,,,
DRREDDY,DRREDDY.NS,,,,,,,,,
BHARTIARTL,BHARTIARTL.NS,,,,,,,,,
ONGC,ONGC.NS,,,,,,,,,
AXISBANK,AXISBANK.NS,,,,,,,,,
BAJAJFINSV,BAJAJFINSV.NS,,,,,,,,,
RELIANCE,RELIANCE.NS,,,,,,,,,
INFY,INFY.NS,,,,,,,,,
BAJAJ-AUTO,BAJAJ-AUTO.NS,,,,,,,,,
COALINDIA,COALINDIA.NS,,,,,,,,,
GRASIM,GRASIM.NS,,,,,,,,,
INDUSINDBK,INDUSINDBK.NS,,,,,,,,,
HDFCBANK,HDFCBANK.NS,,,,,,,,,
NESTLEIND,NESTLEIND.NS,,,,,,,,,
HINDALCO,HINDALCO.NS,,,,,,,,,
HDFC,HDFC.NS,,,,,,,,,
TATACONSUM,TATACONSUM.NS,,,,,,,,,
WIPRO,WIPRO.NS,,,,,,,,,
HCLTECH,HCLTECH.NS,,,,,,,,,
SBILIFE,SBILIFE.NS,,,,,,,,,
DIVISLAB,DIVISLAB.NS,,,,,,,,,
ASIANPAINT,ASIANPAINT.NS,,,,,,,,,
SUNPHARMA,SUNPHARMA.NS,,,,,,,,,
CIPLA,CIPLA.NS,,,,,,,,,
HDFCLIFE,HDFCLIFE.NS,,,,,,,,,
BRITANNIA,BRITANNIA.NS,,,,,,,,,
TECHM,TECHM.NS,,,,,,,,,
TCS,TCS.NS,,,,,,,,,
BAJFINANCE,BAJFINANCE.NS,,,,,,,,,
