,All trades,Short trades,Long trades
Total number of round_trips,8,6,2
Percent profitable,0.625,0.6667,0.5
Winning round_trips,5,4,1
Losing round_trips,3,2,1
Even round_trips,0,0,0
Total profit,19367.0,41385.0,-22018.0
Gross profit,67784.5,58956.5,8828.0
Gross loss,-48417.5,-17571.5,-30846.0
Profit factor,1.4,3.3552,0.2862
Avg. trade net profit,2420.875,6897.5,-11009.0
Avg. winning trade,13556.9,14739.125,8828.0
Avg. losing trade,-16139.1667,-8785.75,-30846.0
Ratio Avg. Win:Avg. Loss,0.84,1.6776,0.2862
Largest winning trade,36929.0,36929.0,8828.0
Largest losing trade,-30846.0,-9765.0,-30846.0
Avg duration,11 days 09:39:22,11 days 23:43:30,9 days 15:27:00
Median duration,8 days 03:07:30,8 days 03:07:30,9 days 15:27:00
Longest duration,28 days 05:21:00,28 days 05:21:00,14 days 03:00:60
Shortest duration,2 days 05:45:00,2 days 05:45:00,5 days 03:53:00
Avg returns all round_trips,0.0234,0.0226,0.0277
Avg returns winning,0.0484,0.0553,0.0277
Avg returns losing,-0.0265,-0.0265,
Median returns all round_trips,0.0187,0.0097,0.0277
Median returns winning,0.0306,0.0335,0.0277
Median returns losing,-0.0265,-0.0265,
Largest winning trade,0.1227,0.1227,0.0277
Largest losing trade,-0.0282,-0.0282,0.0277
