date,BANKNIFTY-I,NIFTY-I
2019-01-01 15:35:00+05:30,-50.0,
2019-01-02 15:35:00+05:30,-50.0,
2019-01-03 15:35:00+05:30,-50.0,
2019-01-04 15:35:00+05:30,-50.0,
2019-01-07 15:35:00+05:30,-50.0,-50.0
2019-01-08 15:35:00+05:30,-50.0,-50.0
2019-01-09 15:35:00+05:30,-50.0,-50.0
2019-01-10 15:35:00+05:30,-50.0,-50.0
2019-01-11 15:35:00+05:30,-50.0,-50.0
2019-01-14 15:35:00+05:30,-50.0,-50.0
2019-01-15 15:35:00+05:30,-50.0,-50.0
2019-01-16 15:35:00+05:30,-50.0,-50.0
2019-01-17 15:35:00+05:30,-50.0,-50.0
2019-01-18 15:35:00+05:30,-50.0,-50.0
2019-01-21 15:35:00+05:30,-50.0,-50.0
2019-01-22 15:35:00+05:30,-50.0,-50.0
2019-01-23 15:35:00+05:30,-50.0,-50.0
2019-01-24 15:35:00+05:30,-50.0,-50.0
2019-01-25 15:35:00+05:30,-50.0,-50.0
2019-01-28 15:35:00+05:30,-50.0,
2019-01-29 15:35:00+05:30,,-50.0
2019-01-30 15:35:00+05:30,,-50.0
2019-01-31 15:35:00+05:30,,
2019-02-01 15:35:00+05:30,50.0,50.0
2019-02-04 15:35:00+05:30,50.0,50.0
2019-02-05 15:35:00+05:30,50.0,50.0
2019-02-06 15:35:00+05:30,50.0,
2019-02-07 15:35:00+05:30,50.0,
2019-02-08 15:35:00+05:30,50.0,
2019-02-11 15:35:00+05:30,50.0,-50.0
2019-02-12 15:35:00+05:30,50.0,-50.0
2019-02-13 15:35:00+05:30,50.0,-50.0
2019-02-14 15:35:00+05:30,50.0,-50.0
2019-02-15 15:35:00+05:30,,
2019-02-18 15:35:00+05:30,-50.0,
2019-02-19 15:35:00+05:30,-50.0,
2019-02-20 15:35:00+05:30,-50.0,
2019-02-21 15:35:00+05:30,-50.0,-50.0
2019-02-22 15:35:00+05:30,-50.0,-50.0
2019-02-25 15:35:00+05:30,-50.0,-50.0
2019-02-26 15:35:00+05:30,-50.0,-50.0
2019-02-27 15:35:00+05:30,-50.0,
2019-02-28 15:35:00+05:30,-50.0,
2019-03-01 15:35:00+05:30,-50.0,-50.0
