,All trades,Short trades,Long trades
Total number of round_trips,16,3,13
Percent profitable,0.3125,0.3333,0.3077
Winning round_trips,5,1,4
Losing round_trips,11,2,9
Even round_trips,0,0,0
Total profit,-74257.5,13690.0,-87947.5
Gross profit,126510.0,26560.0,99950.0
Gross loss,-200767.5,-12870.0,-187897.5
Profit factor,0.6301,2.0637,0.5319
Avg. trade net profit,-4641.0938,4563.3333,-6765.1923
Avg. winning trade,25302.0,26560.0,24987.5
Avg. losing trade,-18251.5909,-6435.0,-20877.5
Ratio Avg. Win:Avg. Loss,1.3863,4.1274,1.1969
Largest winning trade,57777.5,26560.0,57777.5
Largest losing trade,-52655.0,-12672.5,-52655.0
Avg duration,2 days 17:36:52,6 days 06:28:20,1 days 22:01:55
Median duration,1 days 05:30:00,6 days 19:25:00,1 days 05:00:60
Longest duration,11 days 00:00:00,11 days 00:00:00,6 days 20:21:00
Shortest duration,03:27:00,1 days 00:00:00,03:27:00
Avg returns all round_trips,-0.0126,-0.0328,-0.0071
Avg returns winning,0.0986,0.1016,0.0979
Avg returns losing,-0.0744,-0.0999,-0.0671
Median returns all round_trips,-0.041,-0.0008,-0.0424
Median returns winning,0.0793,0.1016,0.0645
Median returns losing,-0.0587,-0.0999,-0.0587
Largest winning trade,0.2164,0.1016,0.2164
Largest losing trade,-0.1991,-0.1991,-0.1015
