date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-03-02 00:00:00+05:30,306825.0000,38719.7500,0.0000,0.0000,300000.0000,260880.2500,7225.0000,0.0000,6825.0000,306825.0000,400.0000,0.0000,6825.0000,8.5100,8.5100,2610060.0000,2610060.0000,2610060.0000,0.0000,2,0,0.0228,0.0228,0.3619,0.0000,,,300000.0000,0.0000,,
2022-03-03 00:00:00+05:30,269337.5000,189857.5000,0.0000,0.0000,300000.0000,83160.0000,-3680.0000,-26382.5000,-30662.5000,269337.5000,600.0000,0.0000,-37487.5000,3.0700,3.0700,826270.0000,826270.0000,826270.0000,0.0000,1,0,-0.1222,-0.1022,1.3954,-0.1222,,,297887.0253,-0.0070,,
2022-03-04 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,-12340.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0458,-0.1433,1.2142,-0.1624,,,293101.7061,-0.0161,,
2022-03-07 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.1433,1.0515,-0.1624,,,286560.6871,-0.0223,,
2022-03-08 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.1433,0.9405,-0.1624,,,289021.0125,0.0086,,
2022-03-09 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.1433,0.8586,-0.1624,,,295327.4569,0.0218,,
2022-03-10 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.1433,0.7949,-0.1624,,,298925.4685,0.0122,,
2022-03-11 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.1433,0.7436,-0.1624,,,299903.4636,0.0033,,
2022-03-14 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.1433,0.7011,-0.1624,,,304701.4138,0.0160,,
2022-03-15 00:00:00+05:30,256997.5000,256997.5000,0.0000,0.0000,300000.0000,0.0000,0.0000,-42202.5000,-43002.5000,256997.5000,800.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.1433,0.6651,-0.1624,,,300345.5462,-0.0143,,
